image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00108.webp,https://assets.newme.asia/wp-content/uploads/2025/06/121212009a63c549/NM-IN-56-DRS-25-MAY-16643-BLACK(1).webp,6695448,Black Blazer Dress,,,,,1699,4.6,Dresses,https://newme.asia/product/black-blazer-dress,upper wear
female_00109.webp,https://assets.newme.asia/wp-content/uploads/2025/06/121212153d7d2fe7/NM-IN-56-DRS-25-MAY-16672-LIGHTGREY(1).webp,6695443,Layered Contrast Dress,,,,,1099,4.0,Dresses,https://newme.asia/product/layered-contrast-dress,upper wear
female_00110.webp,https://assets.newme.asia/wp-content/uploads/2025/11/2905475097a61cc5/NM-PRC-193-DRS-25-NOV-26583-PURPLE(1).webp,8207817,Purple Fringed Sequin Mini Dress,,,,,1999,4.8,Dresses,https://newme.asia/product/purple-fringed-sequin-mini-dress,upper wear
female_00111.webp,https://assets.newme.asia/wp-content/uploads/2026/05/30071137998d760e/NM-IN-56-DRS-25-DEC-22414-OLIVE(0).webp,10684123,Olive Floral Halter Neck Mini Dress,"Olive, Brown, Pink",,Floral,,1099,4.7,Dresses,https://newme.asia/product/olive-floral-halter-neck-mini-dress,upper wear
female_00112.webp,https://assets.newme.asia/wp-content/uploads/2026/04/28090302ab5cacbf/NM-PRC-425-DRS-26-FEB-31161-RUST(1).webp,9686300,Rust Sweetheart Ruffle Mini Dress,"Rust, Olive",,,,1299,5.0,Dresses,https://newme.asia/product/rust-sweetheart-ruffle-mini-dress,upper wear
female_00113.webp,https://assets.newme.asia/wp-content/uploads/2025/12/300845032b5dd931/NM-IN-56-DRS-25-DEC-22158-TEAL(1).webp,8864178,Teal Solid Halter Neck Mini Dress,,,Solid,,899,5.0,Dresses,https://newme.asia/product/teal-solid-halter-neck-mini-dress,upper wear
female_00114.webp,https://assets.newme.asia/wp-content/uploads/2025/12/011237121dd936ae/NM-IN-56-DRS-25-NOV-21989-GOLD(1).webp,8464436,Gold Textured Off Shoulder Mini Dress,,,,,849,5.0,Dresses,https://newme.asia/product/gold-textured-off-shoulder-mini-dress,upper wear
female_00115.webp,https://assets.newme.asia/wp-content/uploads/2025/09/1012232086054fbc/NM-PRC-360-DRS-25-SEP-21575-LIGHTBLUE_(1).webp,7614395,Light Blue Round Neck A-Line Denim Dress,,,Denim,Denim,999,4.8,Dresses,https://newme.asia/product/light-blue-round-neck-a-line-denim-dress,upper wear
female_00116.webp,https://assets.newme.asia/wp-content/uploads/2026/01/31115048884baad5/NM-IN-56-DRS-25-SEP-24974-ORANGE(0).webp,9304039,Orange Solid Ruched Maxi Dress,"Orange, Black, Brown",,Ruched,,1199,4.9,Dresses,https://newme.asia/product/orange-solid-ruched-maxi-dress,upper wear
female_00117.webp,https://assets.newme.asia/wp-content/uploads/2025/05/29155540456c6daf/NM-PRC-176-DRS-25-MAY-16773-NAVYBLUE_(1).webp,6650725,Navy Blue One Shoulder Midi Dress,,,,,899,4.8,Dresses,https://newme.asia/product/navy-blue-one-shoulder-midi-dress,upper wear
female_00118.webp,https://assets.newme.asia/wp-content/uploads/2025/05/171757175d730633/NM-IN-56-DRS-25-MAR-16076-LIGHTPINK_(1).webp,6159453,Bell Sleeves Bodycon Dress,,Bodycon,,,649,4.5,Dresses,https://newme.asia/product/bell-sleeves-bodycon-dress,upper wear
female_00119.webp,https://assets.newme.asia/wp-content/uploads/2024/05/0209130008f2b623/NM-PRC-3-DRS-24-APR-5408-GREEN(1).webp,1723580,Green Sweetheart Flounce Mini Dress,,,,,1199,3.0,Dresses,https://newme.asia/product/green-sweetheart-flounce-mini-dress,upper wear
