image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url
00097.webp,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_c8097943-4308-4639-a4b8-5a8ca9045385.jpg?v=1781196957,9248429998242,100% Cotton Slim Fit Shirt,['Navy'],Slim Fit,Plain,Cotton,1099.0,4.2,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-shirt-mp-4sfs072-08/9248429998242/buy
00098.webp,https://d2wbq7o4qxi60y.cloudfront.net/9239407231138/1-800.webp,9239407231138,100% Cotton Stripes Shirt,['White'],Regular Fit,Stripes,Cotton,1399.0,4.4,Shirts,https://www.snitch.com/men-shirts/regular-fit-stripes-100-cotton-shirt-4sfs043-05/9239407231138/buy
00099.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224474427554/1-800.webp,9224474427554,100% Cotton Slim Fit Shirt,['Blue'],Slim Fit,Plain,Cotton,1499.0,4.2,Shirts,https://www.snitch.com/men-shirts/100-cotton-slim-fit-micro-check-shirt-4sfs021-03/9224474427554/buy
00100.webp,https://d2wbq7o4qxi60y.cloudfront.net/8951238754466/1-800.webp,8951238754466,Pack Of 3 Regular Fit 100% Cotton T-Shirt,['Multi'],Regular Fit,Plain,Cotton,999.0,4.7,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/regular-fit-100-cotton-t-shirt-4mst3249-01/8951238754466/buy
00101.webp,https://d2wbq7o4qxi60y.cloudfront.net/8457227305122/1-800.webp,8457227305122,Powder Blue Zipper Polo T-Shirt,['Blue'],Slim Fit,Plain,Cotton,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/powder-blue-zipper-polo-t-shirt-4mst2418-02/8457227305122/buy
00102.webp,https://d2wbq7o4qxi60y.cloudfront.net/8104914354338/1-800.webp,8104914354338,Paladin Blue Polo T-Shirt,['Blue'],Slim Fit,"Textured, Self-Design",Cotton,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/paladin-blue-polo-t-shirt/8104914354338/buy
00103.webp,https://d2wbq7o4qxi60y.cloudfront.net/8160835895458/1-800.webp,8160835895458,Quintet Black Polo T-Shirt,['Black'],Slim Fit,"Textured, Self-Design",Polyester,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/quintet-black-polo-t-shirt/8160835895458/buy
00104.webp,https://d2wbq7o4qxi60y.cloudfront.net/9214324736162/1-800.webp,9214324736162,100% Cotton Sleeveless T-Shirt,['Grey'],Regular Fit,Plain,Cotton,599.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/100-cotton-oversized-t-shirt-4rn001-03/9214324736162/buy
00105.webp,https://d2wbq7o4qxi60y.cloudfront.net/8588058165410/1-800.webp,8588058165410,Maroon Slim Fit Knitted T-Shirt,['Maroon'],Slim Fit,Textured,Polyester,1219.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/maroon-slim-fit-knitted-t-shirt-4mst2575-04/8588058165410/buy
00106.webp,https://d2wbq7o4qxi60y.cloudfront.net/8190908956834/1-800.webp,8190908956834,Sleek Striped Black Polo T-Shirt,['Black'],Slim Fit,"Textured, Self-Design",Cotton,1129.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/sleek-striped-black-polo/8190908956834/buy
00107.webp,https://d2wbq7o4qxi60y.cloudfront.net/8101915951266/1-800.webp,8101915951266,Crochet Beige Polo T-Shirt,['Beige'],Slim Fit,Plain,Cotton,1219.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/crochet-beige-polo-t-shirt/8101915951266/buy
00108.webp,https://d2wbq7o4qxi60y.cloudfront.net/8190909251746/1-800.webp,8190909251746,Sleek Striped Brown Polo T-Shirt,['Brown'],Slim Fit,"Textured, Self-Design",Cotton,1199.0,4.5,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/sleek-striped-brown-polo-t-shirt/8190909251746/buy
00109.webp,https://d2wbq7o4qxi60y.cloudfront.net/8322396618914/1-800.webp,8322396618914,Poloshique Mauve Plain Polo T-Shirt,['Mauve'],Slim Fit,"Textured, Self-Design",Polyester,999.0,4.4,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/poloshique-mauve-plain-polo-t-shirt/8322396618914/buy
00110.webp,https://d2wbq7o4qxi60y.cloudfront.net/8588057673890/1-800.webp,8588057673890,Cream Slim Fit Knitted T-Shirt,['Cream'],Slim Fit,Textured,Polyester,1219.0,4.7,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/cream-slim-fit-knitted-t-shirt-4mst2575-01/8588057673890/buy
00111.webp,https://d2wbq7o4qxi60y.cloudfront.net/8513749254306/1-800.webp,8513749254306,Black Zipper Knitted Polo T-Shirt,['Black'],Slim Fit,"Textured, Self-Design",Cotton,1319.0,4.6,T-Shirts | POLO,https://www.snitch.com/men-t-shirts/black-zipper-knitted-polo-t-shirt-4mst2440-03/8513749254306/buy
